it_companies_stock.symbol	it_companies_stock.series	it_companies_stock.open	it_companies_stock.high	it_companies_stock.low	it_companies_stock.close	it_companies_stock.last	it_companies_stock.prevclose	it_companies_stock.tottrdqty	it_companies_stock.tottrval	it_companies_stock.mydate	it_companies_stock.totaltrades	it_companies_stock.isin
INFY	EQ	1226.3	1228.5	1207.0	1211.25	1212.75	1226.3	2571969	3.12736536455E9	2016-04-22	96983	INE009A01021
TCS	EQ	2419.0	2435.4	2404.2	2417.05	2423.4	2424.4	982063	2.37683104835E9	2016-04-22	54414	INE467B01029
TECHM	EQ	477.05	487.75	474.6	479.9	481.0	476.35	2058353	9.958694386E8	2016-04-22	47756	INE669C01036
WIPRO	EQ	560.0	562.65	555.1	557.95	557.35	558.85	2154879	1.2027979309E9	2016-04-22	44653	INE075A01022
HCLTECH	EQ	845.25	870.0	842.3	865.75	866.4	844.5	1917557	1.64650700975E9	2016-01-29	34692	INE860A01027
INFY	EQ	1138.0	1170.0	1131.6	1164.9	1166.0	1129.6	5116054	5.9120644758E9	2016-01-29	105694	INE009A01021
TATAELXSI	EQ	1994.05	2096.0	1990.4	2082.6	2088.0	1990.4	917264	1.8766341367E9	2016-01-29	41058	INE670A01012
TCS	EQ	2358.7	2400.0	2335.05	2391.3	2386.1	2331.2	1117872	2.65205789965E9	2016-01-29	51641	INE467B01029
TECHM	EQ	500.0	505.65	492.95	501.4	501.0	500.05	1583928	7.8935535585E8	2016-01-29	29247	INE669C01036
WIPRO	EQ	548.6	565.7	548.6	562.8	563.8	547.25	1450233	8.0876962095E8	2016-01-29	30841	INE075A01022
HCLTECH	EQ	736.8	739.8	725.5	732.9	731.0	737.1	2538933	1.86043641165E9	2016-05-05	79069	INE860A01027
INFY	EQ	1195.15	1199.0	1181.1	1192.45	1195.45	1188.85	3151334	3.7487590432E9	2016-05-05	137968	INE009A01021
MINDTREE	EQ	660.0	672.55	659.95	664.0	664.0	661.45	347883	2.325026326E8	2016-05-05	15942	INE018I01017
TATAELXSI	EQ	1856.95	1865.9	1821.3	1837.3	1837.0	1846.85	338530	6.2470146255E8	2016-05-05	17556	INE670A01012
TCS	EQ	2478.0	2489.95	2463.55	2470.3	2469.3	2478.0	623283	1.54104867815E9	2016-05-05	34994	INE467B01029
TECHM	EQ	466.8	482.0	465.0	479.35	481.0	466.95	1484568	7.0505767125E8	2016-05-05	38315	INE669C01036
WIPRO	EQ	539.0	545.3	537.0	543.1	544.5	540.0	1092135	5.9036475435E8	2016-05-05	33474	INE075A01022
HCLTECH	EQ	723.5	724.2	716.1	718.8	717.55	721.4	2700968	1.9466494962E9	2016-05-10	97670	INE860A01027
INFY	EQ	1202.5	1216.65	1196.6	1212.8	1211.95	1199.05	1697852	2.0487355259E9	2016-05-10	75786	INE009A01021
MINDTREE	EQ	660.0	662.05	644.25	645.85	645.9	657.15	446140	2.9070524775E8	2016-05-10	19171	INE018I01017
TCS	EQ	2515.0	2533.95	2496.0	2522.9	2522.9	2512.55	579267	1.45722431735E9	2016-05-10	47846	INE467B01029
TECHM	EQ	479.45	485.6	475.65	482.7	484.0	478.6	2296911	1.105448E9	2016-05-10	29583	INE669C01036
WIPRO	EQ	538.75	542.1	534.45	538.65	539.0	539.0	977159	5.263596747E8	2016-05-10	33683	INE075A01022
DATAMATICS	EQ	81.1	87.9	81.1	83.0	83.0	80.7	385077	3.263141345E7	2016-09-06	4537	INE365B01017
HCLTECH	EQ	780.25	788.3	774.7	785.6	786.9	784.55	1522299	1.18884578045E9	2016-09-06	75207	INE860A01027
INFY	EQ	1038.25	1048.9	1035.6	1045.0	1046.0	1031.85	4107522	4.29196846015E9	2016-09-06	105919	INE009A01021
MINDTREE	EQ	514.8	530.8	504.1	525.0	524.0	548.85	3068228	1.5814647553E9	2016-09-06	66148	INE018I01017
TCS	EQ	2519.9	2520.15	2480.0	2484.05	2484.7	2514.8	1119533	2.78992341135E9	2016-09-06	82530	INE467B01029
TECHM	EQ	470.0	481.25	467.4	480.05	477.7	471.85	1553926	7.403496804E8	2016-09-06	40436	INE669C01036
WIPRO	EQ	485.0	485.4	480.0	482.9	483.2	483.6	1592073	7.676060292E8	2016-09-06	38565	INE075A01022
HCLTECH	EQ	805.45	822.0	805.45	820.6	821.0	806.8	2302342	1.87885858085E9	2016-03-30	85561	INE860A01027
INFY	EQ	1197.6	1210.0	1195.55	1205.95	1206.6	1197.25	2878409	3.46857463115E9	2016-03-30	94161	INE009A01021
MINDTREE	EQ	626.2	669.0	623.4	663.05	661.5	616.1	1089645	7.0369793475E8	2016-03-30	34081	INE018I01017
TATAELXSI	EQ	1855.0	1904.7	1842.0	1885.45	1882.1	1837.45	517951	9.73158961E8	2016-03-30	23703	INE670A01012
TCS	EQ	2470.9	2505.0	2460.0	2489.5	2490.0	2469.4	1068252	2.66013887955E9	2016-03-30	66443	INE467B01029
TECHM	EQ	471.0	478.8	465.75	472.85	475.1	467.6	3203825	1.50319110155E9	2016-03-30	85778	INE669C01036
WIPRO	EQ	552.7	563.65	551.25	561.95	563.4	553.15	1478150	8.2380941935E8	2016-03-30	38864	INE075A01022
HCLTECH	EQ	784.8	786.65	771.3	774.3	776.15	790.85	2025316	1.57041345635E9	2016-10-27	70531	INE860A01027
INFY	EQ	1017.9	1017.95	1001.1	1003.5	1004.5	1014.2	3613895	3.63945289135E9	2016-10-27	103905	INE009A01021
MINDTREE	EQ	449.8	450.1	438.0	441.5	443.5	450.2	1092899	4.82531829E8	2016-10-27	14856	INE018I01017
TATAELXSI	EQ	1255.0	1303.9	1222.05	1239.0	1247.0	1271.25	1460970	1.8328027448E9	2016-10-27	48293	INE670A01012
TCS	EQ	2379.7	2429.5	2365.5	2418.1	2401.1	2396.25	1470801	3.5268104165E9	2016-10-27	61880	INE467B01029
TECHM	EQ	423.0	426.55	412.65	414.1	417.75	423.05	3706854	1.55083004025E9	2016-10-27	31072	INE669C01036
WIPRO	EQ	471.3	473.65	460.0	461.7	460.55	471.55	1883031	8.724285665E8	2016-10-27	64874	INE075A01022
DATAMATICS	EQ	110.7	117.35	110.0	112.45	112.6	109.7	2261471	2.5827864405E8	2016-12-28	21474	INE365B01017
HCLTECH	EQ	810.0	817.75	804.15	807.05	809.7	804.85	717216	5.82245017E8	2016-12-28	42783	INE860A01027
INFY	EQ	1002.95	1009.8	995.0	998.5	999.0	998.95	2738408	2.7470398453E9	2016-12-28	81224	INE009A01021
