symbol	open	high	low	close
GEOMETRIC	155.7	157.4	148.5	150.5
GEOMETRIC	251.0	257.85	250.85	253.6
GEOMETRIC	235.7	236.0	229.4	231.9
GEOMETRIC	233.8	234.9	228.9	232.6
GEOMETRIC	195.75	201.05	193.2	195.9
GEOMETRIC	181.05	186.7	178.15	179.15
GEOMETRIC	172.9	173.0	155.2	166.95
GEOMETRIC	178.9	181.1	174.4	177.0
GEOMETRIC	230.1	236.45	230.1	233.35
GEOMETRIC	238.0	238.0	233.0	233.65
GEOMETRIC	237.15	241.0	237.15	239.1
GEOMETRIC	235.5	238.45	232.6	237.1
GEOMETRIC	152.8	152.8	147.0	149.6
GEOMETRIC	230.5	235.7	230.5	232.1
GEOMETRIC	218.0	221.35	218.0	220.65
GEOMETRIC	230.0	235.9	229.05	234.15
GEOMETRIC	172.1	173.75	166.6	168.35
GEOMETRIC	174.4	177.0	167.4	170.05
GEOMETRIC	169.2	174.5	167.7	171.95
GEOMETRIC	175.9	176.4	171.5	172.7
GEOMETRIC	148.05	155.0	147.85	153.25
GEOMETRIC	236.7	240.3	233.5	236.45
GEOMETRIC	235.1	238.5	231.95	235.65
GEOMETRIC	239.1	243.0	237.8	240.25
GEOMETRIC	242.25	243.05	236.0	241.55
GEOMETRIC	240.25	254.0	239.8	250.8
GEOMETRIC	149.5	152.5	143.0	145.4
GEOMETRIC	151.45	153.3	146.6	147.55
GEOMETRIC	231.4	239.4	229.4	238.35
GEOMETRIC	226.15	235.5	226.15	230.3
GEOMETRIC	213.0	218.75	210.3	214.9
GEOMETRIC	229.5	233.45	229.3	232.3
GEOMETRIC	228.0	235.0	221.65	234.0
GEOMETRIC	180.0	202.85	180.0	200.55
GEOMETRIC	159.4	170.9	157.05	165.85
GEOMETRIC	161.8	165.3	148.7	149.85
GEOMETRIC	234.9	236.5	228.05	235.05
GEOMETRIC	231.75	242.75	231.75	238.95
GEOMETRIC	223.35	226.0	222.6	224.6
GEOMETRIC	219.0	219.0	215.25	216.05
GEOMETRIC	231.0	235.5	230.1	232.7
GEOMETRIC	229.1	231.95	228.65	230.85
GEOMETRIC	149.0	152.5	143.65	150.0
GEOMETRIC	152.35	152.95	142.0	143.5
GEOMETRIC	240.0	241.65	238.8	240.05
GEOMETRIC	239.85	241.75	235.95	236.65
GEOMETRIC	236.9	237.85	231.9	234.65
GEOMETRIC	219.9	220.2	215.5	217.55
GEOMETRIC	214.0	217.4	213.85	216.3
GEOMETRIC	171.9	177.7	171.8	176.7
GEOMETRIC	215.0	239.4	207.35	236.05
GEOMETRIC	221.8	224.95	220.55	223.85
GEOMETRIC	219.0	220.0	218.0	218.85
GEOMETRIC	162.5	166.7	154.0	156.35
GEOMETRIC	235.3	240.3	233.45	237.8
GEOMETRIC	253.5	254.65	249.4	252.0
GEOMETRIC	236.05	236.05	232.9	234.1
GEOMETRIC	173.45	183.7	173.45	180.85
GEOMETRIC	145.0	153.5	144.35	152.55
GEOMETRIC	217.9	219.0	217.0	218.25
GEOMETRIC	169.0	179.8	168.8	177.65
GEOMETRIC	207.0	209.0	193.0	196.1
GEOMETRIC	232.05	233.7	229.05	230.3
GEOMETRIC	159.1	163.3	156.6	157.95
GEOMETRIC	223.85	226.35	222.75	224.55
GEOMETRIC	230.75	233.8	229.95	232.3
GEOMETRIC	224.05	224.4	221.6	223.35
GEOMETRIC	218.0	219.45	216.0	218.35
GEOMETRIC	237.0	240.95	237.0	239.0
GEOMETRIC	219.0	222.9	214.0	221.95
GEOMETRIC	182.0	185.0	180.5	183.15
GEOMETRIC	233.7	237.0	231.85	235.3
GEOMETRIC	233.0	233.3	229.5	230.55
GEOMETRIC	232.6	234.45	228.1	232.45
GEOMETRIC	150.0	153.8	145.1	147.5
GEOMETRIC	215.6	218.0	214.65	216.55
GEOMETRIC	220.0	225.0	220.0	223.45
GEOMETRIC	245.45	248.0	242.1	243.75
GEOMETRIC	233.2	236.05	233.2	234.8
GEOMETRIC	226.0	232.5	225.65	231.6
GEOMETRIC	253.0	255.0	249.0	251.0
GEOMETRIC	211.65	214.4	211.65	212.75
GEOMETRIC	147.5	153.5	147.5	150.1
GEOMETRIC	232.0	233.95	228.7	230.3
GEOMETRIC	231.0	233.95	229.55	231.5
GEOMETRIC	242.35	244.7	238.55	239.3
GEOMETRIC	231.1	234.8	229.05	230.65
GEOMETRIC	234.25	234.3	231.9	233.1
GEOMETRIC	238.3	245.4	236.7	244.75
GEOMETRIC	136.0	149.0	136.0	146.75
GEOMETRIC	216.85	218.6	216.05	217.65
GEOMETRIC	240.85	244.8	236.35	242.85
GEOMETRIC	220.0	223.9	220.0	222.95
GEOMETRIC	240.0	240.9	235.85	238.95
GEOMETRIC	235.0	240.0	235.0	238.7
GEOMETRIC	186.9	186.9	177.65	181.45
GEOMETRIC	173.95	174.7	170.25	171.2
GEOMETRIC	170.0	176.95	168.25	172.7
GEOMETRIC	218.0	220.6	218.0	219.55
GEOMETRIC	226.35	237.7	225.05	230.7
GEOMETRIC	223.95	225.55	223.1	224.7
GEOMETRIC	224.0	225.0	223.1	223.65
GEOMETRIC	149.05	154.7	149.05	151.5
GEOMETRIC	230.0	235.75	222.55	231.85
GEOMETRIC	239.95	241.0	234.05	239.35
GEOMETRIC	235.95	239.25	235.5	238.35
GEOMETRIC	149.75	172.7	149.75	165.05
GEOMETRIC	216.15	219.4	216.15	218.85
GEOMETRIC	243.2	243.2	236.6	239.4
GEOMETRIC	217.5	221.8	217.1	220.8
GEOMETRIC	180.05	183.4	177.15	179.85
GEOMETRIC	229.9	231.9	228.5	230.65
GEOMETRIC	230.0	238.0	230.0	235.45
